# Soak path list: 200 paths spanning the regimes the model behaves
# differently in. Fields are tab-separated:
#   id  tx_lat  tx_lon  TX_LABEL  rx_lat  rx_lon  RX_LABEL
# The month, year and sunspot number come from the command line, so
# the geography here stays fixed while the live inputs move.
# Generated once and checked in; see docs/soak.md.
antipodal-toronto-singapore	43.6532	-79.3832	TORONTO	1.3521	103.8198	SINGAPORE
antipodal-chicago-singapore	41.8781	-87.6298	CHICAGO	1.3521	103.8198	SINGAPORE
antipodal-brisbane-manaus	-27.4698	153.0251	BRISBANE	-3.119	-60.0217	MANAUS
antipodal-boston-singapore	42.3601	-71.0589	BOSTON	1.3521	103.8198	SINGAPORE
antipodal-delhi-bogota	28.7041	77.1025	DELHI	4.711	-74.0721	BOGOTA
antipodal-buenosaires-jakarta	-34.6037	-58.3816	BUENOS AIRES	-6.2088	106.8456	JAKARTA
antipodal-mumbai-bogota	19.076	72.8777	MUMBAI	4.711	-74.0721	BOGOTA
antipodal-washington-singapore	38.9072	-77.0369	WASHINGTON	1.3521	103.8198	SINGAPORE
antipodal-santiago-jakarta	-33.4489	-70.6693	SANTIAGO	-6.2088	106.8456	JAKARTA
antipodal-saopaulo-jakarta	-23.5505	-46.6333	SAO PAULO	-6.2088	106.8456	JAKARTA
antipodal-mexicocity-mumbai	19.4326	-99.1332	MEXICO CITY	19.076	72.8777	MUMBAI
equatorial-bogota-quito	4.711	-74.0721	BOGOTA	-0.1807	-78.4678	QUITO
equatorial-singapore-jakarta	1.3521	103.8198	SINGAPORE	-6.2088	106.8456	JAKARTA
equatorial-lima-quito	-12.0464	-77.0428	LIMA	-0.1807	-78.4678	QUITO
equatorial-bogota-manaus	4.711	-74.0721	BOGOTA	-3.119	-60.0217	MANAUS
equatorial-lima-bogota	-12.0464	-77.0428	LIMA	4.711	-74.0721	BOGOTA
equatorial-quito-manaus	-0.1807	-78.4678	QUITO	-3.119	-60.0217	MANAUS
equatorial-lima-manaus	-12.0464	-77.0428	LIMA	-3.119	-60.0217	MANAUS
equatorial-manila-singapore	14.5995	120.9842	MANILA	1.3521	103.8198	SINGAPORE
equatorial-dakar-lagos	14.7167	-17.4677	DAKAR	6.5244	3.3792	LAGOS
equatorial-darwin-jakarta	-12.4634	130.8456	DARWIN	-6.2088	106.8456	JAKARTA
equatorial-manila-jakarta	14.5995	120.9842	MANILA	-6.2088	106.8456	JAKARTA
equatorial-manila-darwin	14.5995	120.9842	MANILA	-12.4634	130.8456	DARWIN
equatorial-darwin-singapore	-12.4634	130.8456	DARWIN	1.3521	103.8198	SINGAPORE
equatorial-lagos-nairobi	6.5244	3.3792	LAGOS	-1.2921	36.8219	NAIROBI
equatorial-dakar-manaus	14.7167	-17.4677	DAKAR	-3.119	-60.0217	MANAUS
equatorial-dakar-nairobi	14.7167	-17.4677	DAKAR	-1.2921	36.8219	NAIROBI
equatorial-dakar-bogota	14.7167	-17.4677	DAKAR	4.711	-74.0721	BOGOTA
equatorial-dakar-quito	14.7167	-17.4677	DAKAR	-0.1807	-78.4678	QUITO
equatorial-lagos-manaus	6.5244	3.3792	LAGOS	-3.119	-60.0217	MANAUS
equatorial-dakar-lima	14.7167	-17.4677	DAKAR	-12.0464	-77.0428	LIMA
equatorial-lagos-bogota	6.5244	3.3792	LAGOS	4.711	-74.0721	BOGOTA
equatorial-lagos-quito	6.5244	3.3792	LAGOS	-0.1807	-78.4678	QUITO
equatorial-lima-lagos	-12.0464	-77.0428	LIMA	6.5244	3.3792	LAGOS
equatorial-manila-nairobi	14.5995	120.9842	MANILA	-1.2921	36.8219	NAIROBI
equatorial-darwin-nairobi	-12.4634	130.8456	DARWIN	-1.2921	36.8219	NAIROBI
equatorial-nairobi-manaus	-1.2921	36.8219	NAIROBI	-3.119	-60.0217	MANAUS
equatorial-lagos-singapore	6.5244	3.3792	LAGOS	1.3521	103.8198	SINGAPORE
